Rank,Name,W,L,T,PCT
1,Wake Forest,54,12,0,0.818
2,Oral Roberts,52,14,0,0.788
3,Florida,54,16,0,0.771
4,Virginia,50,15,0,0.769
5,LSU,53,17,0,0.757
6,Campbell,46,15,0,0.754
7,DBU,47,16,0,0.746
8,Northeastern,44,16,0,0.733
,Iowa,44,16,0,0.733
10,Indiana St.,45,17,0,0.726
11,Kent St.,42,16,0,0.724
12,UConn,44,17,0,0.721
13,Central Conn. St.,36,14,0,0.72
14,East Carolina,47,19,0,0.712
15,Arkansas,43,18,0,0.705
16,FGCU,42,18,0,0.7
17,Clemson,44,19,0,0.698
18,Southern Miss.,46,20,0,0.697
19,Alabama St.,41,18,0,0.695
20,UC Irvine,38,17,0,0.691
21,Stanford,44,20,0,0.688
22,Indiana,43,20,0,0.683
23,Penn,34,16,0,0.68
24,Army West Point,38,18,0,0.679
25,Wofford,40,19,0,0.678
26,Vanderbilt,42,20,0,0.677
27,Fairfield,37,18,0,0.673
28,Oregon St.,41,20,0,0.672
,Oklahoma St.,41,20,0,0.672
30,Alabama,43,21,0,0.672
31,Maryland,42,21,0,0.667
,Miami (FL),42,21,0,0.667
,CSUN,34,17,0,0.667
,West Virginia,40,20,0,0.667
,South Carolina,42,21,0,0.667
,Tennessee,44,22,0,0.667
,UTSA,38,19,0,0.667
,Coastal Carolina,42,21,0,0.667
39,Texas,42,22,0,0.656
40,Kentucky,40,21,0,0.656
41,Oregon,41,22,0,0.651
42,Boston College,37,20,0,0.649
43,TCU,44,24,0,0.647
44,Troy,40,22,0,0.645
45,Eastern Ill.,38,21,0,0.644
46,Santa Clara,36,20,0,0.643
,Morehead St.,36,20,0,0.643
48,Texas Tech,41,23,0,0.641
49,Grand Canyon,37,21,0,0.638
50,UC Santa Barbara,35,20,0,0.636
,Washington,35,20,0,0.636
52,USC Upstate,38,22,0,0.633
53,NC State,36,21,0,0.632
,Rider,36,21,0,0.632
55,Louisiana,41,24,0,0.631
56,Wright St.,39,23,0,0.629
57,Col. of Charleston,36,22,0,0.621
58,Duke,39,24,0,0.619
59,Texas St.,36,23,0,0.61
,Ball St.,36,23,0,0.61
,Houston,36,23,0,0.61
62,Sam Houston,39,25,0,0.609
,Xavier,39,25,0,0.609
64,Evansville,37,24,0,0.607
65,Maine,32,21,0,0.604
66,Stetson,35,23,0,0.603
,McNeese,35,23,0,0.603
68,Elon,33,22,0,0.6
,New Orleans,36,24,0,0.6
,Long Beach St.,33,22,0,0.6
,Michigan St.,33,22,0,0.6
,North Carolina,36,24,0,0.6
73,Samford,37,25,0,0.597
74,Central Mich.,34,23,0,0.596
,UNCW,34,23,0,0.596
76,Southern California,34,23,1,0.595
,Auburn,34,23,1,0.595
78,FDU,31,21,1,0.594
79,Kansas St.,35,24,0,0.593
,Abilene Christian,35,24,0,0.593
81,Hawaii,29,20,0,0.592
82,Saint Louis,33,23,0,0.589
,Rutgers,33,23,0,0.589
,Missouri St.,33,23,0,0.589
85,Nebraska,33,23,1,0.588
86,Jacksonville,34,24,0,0.586
,Nicholls,34,24,0,0.586
,Utah Valley,34,24,0,0.586
89,Texas Southern,31,22,0,0.585
90,Texas A&M,38,27,0,0.585
91,Lamar University,32,23,0,0.582
,Arizona St.,32,23,0,0.582
,Old Dominion,32,23,0,0.582
94,Lipscomb,36,26,0,0.581
95,Fla. Atlantic,34,25,0,0.576
96,Little Rock,31,23,0,0.574
,Portland,31,23,0,0.574
98,Wagner,32,24,0,0.571
,Cal St. Fullerton,32,24,0,0.571
,George Mason,36,27,0,0.571
101,Mercer,33,25,0,0.569
102,Virginia Tech,30,23,0,0.566
103,Louisville,31,24,0,0.564
,Seton Hall,31,24,0,0.564
105,Charlotte,36,28,0,0.563
106,William & Mary,32,25,0,0.561
107,Arizona,33,26,0,0.559
,Western Ky.,33,26,0,0.559
,UCF,33,26,0,0.559
110,Washington St.,29,23,0,0.558
,Binghamton,29,23,0,0.558
112,Notre Dame,30,24,0,0.556
,Davidson,30,24,0,0.556
,Missouri,30,24,0,0.556
115,Ohio St.,31,25,0,0.554
,Gardner-Webb,31,25,0,0.554
,James Madison,31,25,0,0.554
118,Bethune-Cookman,33,27,0,0.55
119,LMU (CA),29,24,0,0.547
120,Wichita St.,30,25,0,0.545
,App State,30,25,0,0.545
122,Saint Joseph's,28,24,1,0.538
,UCLA,28,24,1,0.538
124,UTRGV,30,26,0,0.536
,Quinnipiac,30,26,0,0.536
,Sacramento St.,30,26,0,0.536
127,San Jose St.,31,27,0,0.534
128,Oklahoma,32,28,0,0.533
129,Jackson St.,28,25,0,0.528
,St. John's (NY),28,25,0,0.528
,UIC,28,25,0,0.528
132,Grambling,29,26,0,0.527
133,UMBC,30,27,0,0.526
,Fresno St.,30,27,0,0.526
,Georgia Tech,30,27,0,0.526
,Southern Ill.,30,27,0,0.526
,Georgetown,30,27,0,0.526
,Northern Ky.,30,27,0,0.526
139,Georgia St.,31,28,0,0.525
,Murray St.,31,28,0,0.525
141,Niagara,24,22,1,0.521
142,Bryant,26,24,0,0.52
143,UIW,28,26,0,0.519
144,Georgia,29,27,0,0.518
,Northwestern St.,29,27,0,0.518
146,Columbia,23,22,0,0.511
147,Princeton,24,23,0,0.511
148,Creighton,25,24,0,0.51
149,New Mexico,26,25,0,0.51
150,Canisius,26,25,1,0.51
151,Eastern Mich.,27,26,0,0.509
,Mississippi St.,27,26,0,0.509
153,North Florida,28,27,0,0.509
154,Memphis,29,28,0,0.509
155,Delaware,30,29,0,0.508
156,Southeastern La.,25,25,0,0.5
,Bucknell,23,23,1,0.5
,Winthrop,28,28,0,0.5
,Michigan,28,28,0,0.5
,UNC Asheville,26,26,0,0.5
,Penn St.,25,25,0,0.5
,Hofstra,26,26,0,0.5
,UT Arlington,29,29,0,0.5
164,Eastern Ky.,29,30,0,0.492
,Florida A&M,29,30,0,0.492
166,Richmond,27,28,0,0.491
167,San Diego,24,25,1,0.49
168,Oakland,29,31,0,0.483
169,Sacred Heart,28,30,0,0.483
,California Baptist,28,30,0,0.483
171,Ga. Southern,27,29,0,0.482
,Middle Tenn.,27,29,0,0.482
173,SIUE,26,28,0,0.481
174,Illinois,25,27,0,0.481
,Mount St. Mary's,25,27,0,0.481
176,Lehigh,24,26,0,0.48
177,Air Force,28,31,0,0.475
,Louisiana Tech,28,31,0,0.475
179,Jacksonville St.,27,30,0,0.474
180,Toledo,26,29,0,0.473
,VMI,26,29,0,0.473
,ETSU,26,29,0,0.473
183,Liberty,27,31,0,0.466
184,Southeast Mo. St.,26,30,0,0.464
185,Kennesaw St.,25,29,0,0.463
,Ole Miss,25,29,0,0.463
187,California,24,28,0,0.462
,BYU,24,28,0,0.462
,South Dakota St.,24,28,0,0.462
190,Navy,23,27,0,0.46
191,Harvard,20,24,0,0.455
,VCU,25,30,0,0.455
193,Purdue,24,29,0,0.453
,San Diego St.,24,29,0,0.453
195,Southern U.,23,28,0,0.451
,Saint Mary's (CA),23,28,0,0.451
197,Belmont,27,33,0,0.45
198,Austin Peay,26,32,0,0.448
199,A&M-Corpus Christi,24,30,0,0.444
200,Rhode Island,23,29,0,0.442
,Stony Brook,23,29,0,0.442
202,Charleston So.,22,28,0,0.44
,SFA,22,28,0,0.44
204,Kansas,25,32,0,0.439
,Milwaukee,25,32,0,0.439
206,Pittsburgh,24,31,0,0.436
207,North Dakota St.,23,30,0,0.434
208,Dayton,26,34,0,0.433
209,Omaha,21,28,0,0.429
210,Florida St.,23,31,0,0.426
,Longwood,23,31,0,0.426
,The Citadel,23,31,0,0.426
,South Alabama,23,31,0,0.426
,Central Ark.,23,31,0,0.426
215,Valparaiso,20,27,0,0.426
216,Yale,17,23,0,0.425
217,UNC Greensboro,25,34,0,0.424
218,Cincinnati,24,33,0,0.421
219,NJIT,22,31,0,0.415
220,UNLV,21,30,0,0.412
221,Utah,22,32,1,0.409
222,N.C. A&T,19,28,0,0.404
223,Coppin St.,21,31,0,0.404
,Western Mich.,21,31,0,0.404
225,Illinois St.,20,30,0,0.4
,Bowling Green,20,30,0,0.4
227,Seattle U,21,32,0,0.396
228,UT Martin,22,34,0,0.393
,Manhattan,22,34,0,0.393
230,Arkansas St.,20,31,0,0.392
231,Western Caro.,21,33,0,0.389
232,Ohio,19,30,0,0.388
,Pepperdine,19,30,0,0.388
234,San Francisco,18,29,0,0.383
235,Tennessee Tech,21,34,0,0.382
,Akron,21,34,0,0.382
,George Washington,21,34,0,0.382
,FIU,21,34,0,0.382
,Presbyterian,21,34,0,0.382
240,Nevada,20,33,0,0.377
241,Miami (OH),21,35,0,0.375
,Cal Poly,21,35,0,0.375
243,High Point,20,34,0,0.37
244,Baylor,20,35,0,0.364
,UMass Lowell,20,35,0,0.364
246,Rice,21,37,0,0.362
247,Ark.-Pine Bluff,18,33,0,0.353
248,Prairie View,20,37,0,0.351
249,South Fla.,21,39,0,0.35
250,Monmouth,16,30,0,0.348
251,Minnesota,18,34,0,0.346
,CSU Bakersfield,18,34,0,0.346
,Gonzaga,18,34,0,0.346
254,Youngstown St.,19,36,0,0.345
,Fordham,19,36,0,0.345
,LIU,19,36,0,0.345
257,Towson,19,37,0,0.339
258,Bradley,16,32,0,0.333
259,UMES,18,37,0,0.327
260,UAB,17,36,0,0.321
261,Brown,12,26,0,0.316
262,UC Davis,17,37,0,0.315
,ULM,17,37,0,0.315
264,Holy Cross,16,35,0,0.314
265,Tulane,19,42,0,0.311
266,Marist,16,36,0,0.308
267,Marshall,16,37,0,0.302
268,Alabama A&M,14,34,0,0.292
269,Lafayette,15,37,0,0.288
,Mississippi Val.,15,37,0,0.288
271,Pacific,14,35,0,0.286
,Massachusetts,14,35,0,0.286
273,Villanova,14,37,0,0.275
,North Ala.,14,37,0,0.275
,New Mexico St.,14,37,0,0.275
276,Delaware St.,13,35,0,0.271
277,Cornell,9,26,0,0.257
278,Iona,13,38,0,0.255
279,Siena,14,41,0,0.255
280,Northern Colo.,11,34,0,0.244
281,Purdue Fort Wayne,13,43,0,0.232
282,Western Ill.,12,40,0,0.231
283,Houston Christian,11,37,0,0.229
284,Butler,12,43,0,0.218
285,UAlbany,9,34,1,0.216
286,UC Riverside,11,41,0,0.212
287,Northwestern,10,40,0,0.2
288,NIU,10,43,0,0.189
289,Radford,10,45,0,0.182
290,Saint Peter's,9,41,0,0.18
291,Norfolk St.,9,42,0,0.176
292,St. Bonaventure,8,40,0,0.167
,Alcorn,8,40,0,0.167
294,Hartford,4,33,0,0.108
295,Dartmouth,3,38,0,0.073
,,,,,
,,,,,
      ,,,,,
